Designation (and name),Prov. Des.,q,Q,H,Epoch,M,Peri.,Node,Incl.,e,a,Opps.,Ref.,"Discovery date, site and discoverer(s)"
,2015 BZ518,38.618,55.788,4.5,20170216,268.6,297.4,44.0,11.4,0.182,47.203,4,MPO 384386,2015/01/24 F51 Pan-STARRS 1
,2015 BY518,36.868,59.634,6.1,20150207,336.7,339.9,194.2,26.1,0.236,48.251,( 59d),MPO 386897,2015/01/19 F51 Pan-STARRS 1
,2015 BX518,36.677,48.506,5.3,20150207,279.7,52.3,210.1,28.2,0.139,42.591,( 64d),MPO 386897,2015/01/18 F51 Pan-STARRS 1
,2015 BW518,37.609,53.411,6.4,20170216,346.9,120.6,35.8,9.2,0.174,45.510,2,MPO 384386,2015/01/17 F51 Pan-STARRS 1
,2015 BV518,43.537,46.408,5.5,20170216,107.2,287.5,98.3,1.8,0.032,44.973,4,MPO 384385,2015/01/17 F51 Pan-STARRS 1
,2015 BU518,31.758,56.512,7.2,20170216,10.5,133.1,61.3,11.4,0.280,44.135,2,MPO 384385,2015/01/28 F51 Pan-STARRS 1
,2015 BT518,41.495,46.297,5.7,20170216,45.0,61.2,101.6,8.1,0.055,43.896,4,MPO 384385,2015/01/28 F51 Pan-STARRS 1
,2015 BS518,34.821,50.742,6.3,20150207,308.9,222.7,17.3,28.6,0.186,42.782,( 56d),MPO 386897,2015/01/28 F51 Pan-STARRS 1
,2015 BR518,37.705,50.639,6.2,20170216,45.1,38.3,79.0,9.9,0.146,44.172,(163d),MPO 384385,2015/01/27 F51 Pan-STARRS 1
,2015 BQ518,39.646,43.787,5.8,20170216,109.6,135.4,271.1,16.0,0.050,41.716,2,MPO 384385,2015/01/24 F51 Pan-STARRS 1
,2015 BP518,35.979,51.917,5.8,20170216,64.6,2.6,104.9,10.2,0.181,43.948,4,MPO 384385,2015/01/21 F51 Pan-STARRS 1
,2015 BO518,35.703,57.975,6.4,20170216,319.6,234.0,340.9,7.7,0.238,46.839,3,MPO 384384,2015/01/20 F51 Pan-STARRS 1
,2015 BN518,36.101,56.892,6.5,20170216,335.9,203.6,312.3,22.5,0.224,46.497,2,MPO 384384,2015/01/18 F51 Pan-STARRS 1
,2015 BM518,32.126,41.186,6.2,20170216,290.8,357.7,262.6,8.8,0.124,36.656,4,MPO 384384,2015/01/23 F51 Pan-STARRS 1
,2015 BL518,33.840,58.866,6.7,20170216,359.5,239.5,314.5,15.3,0.270,46.353,3,MPO 384384,2015/01/20 F51 Pan-STARRS 1
,2015 BZ517,39.542,46.681,8.2,20150118,0.0,291.2,192.8,13.7,0.083,43.112,( 3d),MPO 369257,2015/01/17 568
,2015 AN281,36.212,48.115,5.0,20170216,264.7,224.7,53.4,17.5,0.141,42.163,4,MPO 384355,2015/01/15 F51 Pan-STARRS 1
,2015 AL281,42.482,52.691,5.9,20150207,319.1,116.6,65.1,3.5,0.107,47.587,( 61d),MPO 386892,2015/01/14 F51 Pan-STARRS 1
