Designation (and name),Prov. Des.,q,Q,EMoid,H,Epoch,M,Peri.,Node,Incl.,e,a,Opps.,Ref.,"Discovery date, site and discoverer(s)"
,2016 GW221,0.605,1.049,0.02183,24.8,20170216,197.7,8.3,33.9,3.7,0.268,0.827,( 27d),MPO 386977,2016/04/14 F51 Pan-STARRS 1
,2016 GS220,0.421,1.310,0.04557,22.8,20170216,255.3,292.9,64.1,6.8,0.514,0.865,( 15d),MPO 380436,2016/04/11 F51 Pan-STARRS 1
,2016 GK135,0.902,1.074,0.01869,28.1,20170216,69.9,54.9,19.7,3.2,0.088,0.988,( 9d),MPO 374807,2016/04/05 F51 Pan-STARRS 1
,2016 GH135,0.843,1.128,0.07389,22.2,20170216,73.6,223.2,200.0,21.0,0.145,0.986,(155d),MPO 392478,2016/04/05 G45 LINEAR
,2016 GA3,0.819,1.131,0.03101,24.8,20170216,216.8,303.8,12.8,10.4,0.160,0.975,( 7d),MPO 374722,2016/04/03 F51 Pan-STARRS 1
,2016 GY2,0.649,1.191,0.01059,26.1,20170216,263.4,127.3,190.5,9.3,0.294,0.920,( 3d),MPO 374722,2016/04/02 703 Catalina Sky Survey
,2016 GN2,0.802,1.076,0.04946,25.0,20170216,191.4,334.4,18.5,10.4,0.146,0.939,( 26d),MPO 380427,2016/04/03 G96 Mt. Lemmon Survey
,2016 FT14,0.635,1.082,0.04537,24.8,20170216,197.7,183.6,197.1,4.4,0.260,0.859,( 2d),MPO 374668,2016/03/31 F51 Pan-STARRS 1
,2016 FG14,0.625,1.284,0.03670,26.2,20170216,69.6,234.1,190.3,18.6,0.345,0.955,( 5d),MPO 374668,2016/03/31 G96 Mt. Lemmon Survey
,2016 FZ13,0.803,1.086,0.00171,28.3,20170216,98.9,238.6,183.9,4.2,0.150,0.944,( 13d),MPO 374667,2016/03/30 F51 Pan-STARRS 1
,2016 FY13,0.485,1.312,0.00967,23.9,20170216,104.7,77.7,330.6,1.2,0.460,0.899,( 2d),MPO 374667,2016/03/30 F51 Pan-STARRS 1
,2016 FS13,0.806,1.137,0.08681,26.3,20170216,102.5,205.7,199.8,8.2,0.170,0.971,( 5d),MPO 374666,2016/03/29 W84 DECam
,2016 FP13,0.822,1.095,0.01853,26.2,20170216,193.3,344.5,357.6,1.5,0.143,0.958,( 22d),MPO 374665,2016/03/28 W84 DECam
,2016 FR12,0.821,1.135,0.13435,24.6,20170216,139.8,5.1,11.5,12.5,0.161,0.978,( 18d),MPO 374662,2016/03/28 G96 Mt. Lemmon Survey
,2016 FY2,0.715,1.024,0.00456,25.4,20170216,230.9,205.0,150.0,1.9,0.178,0.869,( 57d),MPO 377933,2016/03/17 G45 LINEAR
,2016 FA,0.859,1.071,0.02716,25.3,20170216,103.4,48.5,2.7,9.1,0.110,0.965,( 20d),MPO 380422,2016/03/16 703 Catalina Sky Survey
,2016 EX202,0.693,1.291,0.02872,25.6,20170216,263.5,317.3,323.4,3.4,0.302,0.992,( 3d),MPO 374640,2016/03/06 F51 Pan-STARRS 1
,2016 EM157,0.589,1.094,0.00449,26.9,20170216,192.1,218.2,171.2,10.3,0.300,0.842,( 3d),MPO 370899,2016/03/14 703 Catalina Sky Survey
,2016 EC157,0.597,1.246,0.04073,23.5,20170216,237.6,329.2,7.5,5.6,0.352,0.922,( 51d),MPO 380419,2016/03/10 F51 Pan-STARRS 1
,2016 EF156,0.523,1.379,0.01596,24.7,20170216,285.0,305.0,354.9,22.1,0.450,0.951,( 9d),MPO 370896,2016/03/13 T05
,2016 ED156,0.496,1.282,0.01824,23.4,20170216,144.9,59.7,327.4,7.2,0.442,0.889,( 28d),MPO 377926,2016/03/12 F51 Pan-STARRS 1
,2016 ES85,0.882,1.056,0.00666,29.7,20170216,243.4,123.4,166.3,2.2,0.090,0.969,( 7d),MPO 370842,2016/03/10 G96 Mt. Lemmon Survey
,2016 EE85,0.680,1.231,0.16031,22.9,20170216,146.5,12.2,8.1,12.4,0.288,0.956,( 52d),MPO 380416,2016/03/06 F51 Pan-STARRS 1
,2016 EV84,0.712,1.020,0.01640,26.8,20170216,214.6,16.1,351.4,13.6,0.178,0.866,( 6d),MPO 386966,2016/03/10 703 Catalina Sky Survey
,2016 EU84,0.833,1.008,0.00298,29.0,20170216,172.0,206.0,169.1,3.2,0.095,0.921,( 4d),MPO 380416,2016/03/10 703 Catalina Sky Survey
,2016 EO84,0.376,1.289,0.03899,22.3,20170216,202.0,29.8,350.2,12.1,0.548,0.833,( 39d),MPO 377916,2016/03/06 F51 Pan-STARRS 1
,2016 EO56,0.348,1.627,0.06348,23.0,20170216,56.5,222.6,163.1,43.1,0.647,0.988,( 8d),MPO 370802,2016/03/07 F51 Pan-STARRS 1
,2016 EL27,0.676,1.080,0.02701,26.1,20170216,286.8,145.6,166.6,15.6,0.230,0.878,( 11d),MPO 370792,2016/03/03 F51 Pan-STARRS 1
,2016 EJ27,0.450,1.055,0.01833,25.2,20170216,17.3,353.6,337.3,3.5,0.402,0.752,( 12d),MPO 377912,2016/03/03 F51 Pan-STARRS 1
,2016 EB27,0.410,1.355,0.05151,22.9,20170216,326.6,320.2,343.7,34.7,0.535,0.882,( 10d),MPO 370790,2016/03/03 703 Catalina Sky Survey
,2016 EH1,0.669,1.094,0.00930,22.6,20170216,173.6,231.2,153.8,14.0,0.241,0.882,( 49d),MPO 380413,2016/03/02 T05
,2016 DP2,0.610,1.107,0.02211,25.9,20170216,204.4,211.1,160.1,5.8,0.289,0.858,( 10d),MPO 370748,2016/02/28 G96 Mt. Lemmon Survey
,2016 DL,0.378,1.051,0.04842,21.3,20170216,57.5,33.1,290.2,23.9,0.471,0.714,2,MPO 370742,2016/02/18 C51 WISE
,2016 DB,0.602,1.181,0.00061,28.5,20170216,161.4,232.7,146.6,2.9,0.325,0.892,( 1d),MPO 365238,2016/02/16 703 Catalina Sky Survey
,2016 CO248,0.783,1.082,0.00003,27.5,20170216,151.0,240.0,139.9,4.8,0.160,0.933,( 28d),MPO 377908,2016/02/15 G45 LINEAR
,2016 CX247,0.564,1.350,0.24826,22.6,20170216,174.9,358.4,341.7,17.5,0.411,0.957,( 21d),MPO 373622,2016/02/10 F51 Pan-STARRS 1
,2016 CU246,0.390,1.315,0.00521,26.5,20170216,179.7,35.5,331.3,2.1,0.542,0.853,( 3d),MPO 373622,2016/02/13 703 Catalina Sky Survey
,2016 CZ192,0.646,1.108,0.06950,24.6,20170216,218.1,206.1,144.5,16.8,0.263,0.877,( 17d),MPO 373618,2016/02/10 G45 LINEAR
,2016 CL136,0.276,1.184,0.02757,21.4,20170216,332.8,23.5,316.5,21.5,0.622,0.730,( 47d),MPO 377905,2016/02/08 703 Catalina Sky Survey
