Designation (and name),Prov. Des.,q,Q,EMoid,H,Epoch,M,Peri.,Node,Incl.,e,a,Opps.,Ref.,"Discovery date, site and discoverer(s)"
,2014 AE29,0.764,1.051,0.00959,27.4,20170216,95.5,137.9,103.1,4.9,0.158,0.907,( 4d),MPO 279509,2014/01/06 G96 Mt. Lemmon Survey
,2013 YW102,0.525,1.239,0.04736,23.6,20170216,39.9,217.1,93.8,12.3,0.405,0.882,( 4d),MPO 279501,2013/12/31 G96 Mt. Lemmon Survey
,2013 YK70,0.301,1.594,0.11109,20.9,20170216,225.6,26.9,269.7,23.1,0.682,0.948,( 8d),MPO 288542,2013/12/30 G96 Mt. Lemmon Survey
,2013 YM2,0.748,1.021,0.01521,26.2,20170216,127.3,160.7,92.2,3.3,0.154,0.885,( 11d),MPO 279479,2013/12/24 G96 Mt. Lemmon Survey
,2013 YG,0.900,1.053,0.03149,25.4,20170216,217.0,50.4,272.5,7.1,0.078,0.976,( 12d),MPO 279478,2013/12/23 G96 Mt. Lemmon Survey
,2013 XF4,0.519,1.305,0.00471,26.0,20170216,332.1,232.0,65.8,5.8,0.431,0.912,( 7d),MPO 278174,2013/12/03 F51 Pan-STARRS 1
,2013 VV13,0.422,1.041,0.02315,24.1,20170216,260.0,300.0,286.8,2.2,0.423,0.731,( 1d),MPO 275436,2013/11/12 G96 Mt. Lemmon Survey
,2013 UR5,0.641,1.079,0.03572,23.0,20170216,193.9,207.3,30.0,15.3,0.255,0.860,( 40d),MPO 278287,2013/10/27 J75
,2013 UB3,0.709,1.059,0.04507,25.7,20170216,183.6,351.4,213.8,4.8,0.198,0.884,( 9d),MPO 275415,2013/10/24 G96 Mt. Lemmon Survey
,2013 US1,0.678,1.102,0.01816,25.6,20170216,138.6,16.9,207.7,2.1,0.238,0.890,( 10d),MPO 275414,2013/10/23 G96
,2013 UG1,0.413,1.184,0.00162,22.4,20170216,338.5,216.6,24.5,10.7,0.483,0.798,2,MPEC 2016-X17,2013/10/22 C94 V. Lipunov
,2013 UB,0.580,1.113,0.00376,26.6,20170216,348.1,314.4,209.6,3.2,0.315,0.847,( 5d),MPO 307077,2013/10/16 G96 Mt. Lemmon Survey
,2013 TG135,0.355,1.057,0.03013,25.2,20170216,85.9,351.9,193.1,9.5,0.497,0.706,( 2d),MPO 272632,2013/10/12 703 Catalina Sky Survey
,2013 TN127,0.844,1.026,0.02674,26.2,20170216,69.8,2.3,198.8,13.4,0.097,0.935,( 3d),MPO 277280,2013/10/11 703 Catalina Sky Survey
,2013 TG6,0.820,1.057,0.00892,26.6,20170216,19.3,221.0,14.0,3.2,0.126,0.938,( 7d),MPO 277266,2013/10/05 703 Catalina Sky Survey
,2013 TB6,0.406,1.165,0.04827,22.6,20170216,54.2,201.9,22.6,14.4,0.483,0.786,( 46d),MPO 278282,2013/10/04 703 Catalina Sky Survey
,2013 TR5,0.813,1.050,0.05974,19.1,20170216,358.4,277.8,344.9,46.7,0.127,0.931,3,MPO 324008,2013/10/02 703 Catalina Sky Survey
,2013 TQ5,0.653,0.894,0.19301,19.8,20170216,162.2,247.3,286.8,16.4,0.156,0.774,2,MPO 361225,2013/10/02 G96 Mt. Lemmon Survey
,2013 TK4,0.704,1.167,0.06648,24.0,20170216,29.7,23.6,204.2,7.0,0.247,0.935,2,MPO 317805,2013/10/02 G96 Mt. Lemmon Survey
,2013 TH4,0.514,1.263,0.25404,23.2,20170216,185.7,2.4,188.5,27.7,0.421,0.888,( 8d),MPO 272609,2013/10/02 G96 Mt. Lemmon Survey
,2013 SN24,0.618,1.049,0.04420,25.0,20170216,345.2,353.7,189.5,10.1,0.258,0.833,( 7d),MPO 272579,2013/09/28 G96 Mt. Lemmon Survey
,2013 SM20,0.617,1.076,0.03438,24.8,20170216,340.5,183.0,341.5,4.0,0.271,0.847,( 13d),MPO 277257,2013/09/26 G96 Mt. Lemmon Survey
,2013 ST,0.678,1.068,0.02970,24.7,20170216,200.7,24.6,182.7,10.8,0.224,0.873,( 18d),MPO 272567,2013/09/23 J75
,2013 RG74,0.207,1.180,0.00034,23.3,20170216,217.3,157.6,359.4,6.5,0.702,0.693,( 8d),MPO 272555,2013/09/15 703 Catalina Sky Survey
,2013 RD6,0.727,1.100,0.08971,24.8,20170216,172.6,176.7,338.7,17.2,0.204,0.913,( 25d),MPO 277246,2013/09/02 G96 Mt. Lemmon Survey
,2013 RO5,0.484,1.031,0.01977,24.8,20170216,274.2,176.0,339.6,10.1,0.361,0.758,( 6d),MPO 270179,2013/09/01 703 Catalina Sky Survey
,2013 QN10,0.469,1.454,0.05307,22.3,20170216,328.5,24.2,177.5,6.0,0.512,0.962,3,MPO 392428,2013/08/27 F51 Pan-STARRS 1
,2013 QJ10,0.551,1.368,0.02372,19.6,20170216,334.2,243.8,327.5,18.1,0.425,0.960,4,MPEC 2016-Y93,2013/08/24 J75
,2013 OY3,0.547,1.121,0.00640,24.8,20170216,7.5,45.7,107.3,2.3,0.344,0.834,( 8d),MPO 267691,2013/07/26 E12 Siding Spring Survey
,2013 NC24,0.714,1.242,0.03787,25.3,20170216,160.5,307.7,109.3,10.1,0.270,0.978,( 8d),MPO 267688,2013/07/13 F51 Pan-STARRS 1
,2013 ND15,0.281,1.166,0.00769,24.1,20170216,119.2,19.7,95.8,4.8,0.611,0.724,( 26d),MPO 268510,2013/07/13 F51 Pan-STARRS 1
,2013 NG10,0.634,1.273,0.07404,22.7,20170216,193.0,316.5,111.2,20.6,0.335,0.954,( 6d),MPO 265949,2013/07/03 F51 Pan-STARRS 1
,2013 NV,0.469,1.448,0.03916,20.2,20170216,21.1,227.8,275.6,29.3,0.511,0.958,4,MPO 386868,2013/07/01 E12 Siding Spring Survey
,2013 MD6,0.483,1.224,0.20638,21.7,20170216,35.0,1.6,92.0,28.3,0.434,0.854,( 26d),MPO 265941,2013/06/19 F51 Pan-STARRS 1
,2013 MR,0.445,1.302,0.09216,21.7,20170216,304.7,207.3,266.9,20.2,0.491,0.874,2,MPO 301792,2013/06/17 F51 Pan-STARRS 1
,2013 LC1,0.653,1.284,0.02531,23.9,20170216,57.6,47.3,80.0,5.3,0.326,0.968,2,MPO 343606,2013/06/02 G96 Mt. Lemmon Survey
,2013 KJ6,0.623,1.025,0.09323,19.9,20170216,135.6,235.7,212.3,20.4,0.244,0.824,2,MPO 386868,2013/05/29 703 Catalina Sky Survey
,2013 KH6,0.774,1.071,0.04926,23.2,20170216,232.8,195.4,246.3,15.6,0.161,0.923,( 73d),MPO 268506,2013/05/30 703 Catalina Sky Survey
,2013 KT1,0.772,1.075,0.00679,26.6,20170216,316.8,317.3,58.9,8.1,0.164,0.923,( 2d),MPO 263303,2013/05/18 703 Catalina Sky Survey
,2013 JX28,0.262,0.940,0.06847,20.1,20170216,204.8,354.9,40.0,10.8,0.564,0.601,3,MPO 307072,2013/05/11 F51 Pan-STARRS 1
,2013 JL14,0.524,1.316,0.03759,24.5,20170216,10.0,136.4,227.2,14.8,0.431,0.920,( 7d),MPO 263240,2013/05/08 F51 Pan-STARRS 1
,2013 JK14,0.494,1.350,0.00745,24.9,20170216,1.0,313.0,55.7,4.9,0.465,0.922,( 6d),MPO 263240,2013/05/08 F51 Pan-STARRS 1
,2013 HM11,0.564,1.226,0.12536,23.1,20170216,55.6,333.4,32.0,29.0,0.370,0.895,( 21d),MPO 265065,2013/04/17 F51 Pan-STARRS 1
,2013 GT66,0.576,1.125,0.01196,25.2,20170216,213.6,321.8,21.3,14.6,0.323,0.850,( 1d),MPO 259325,2013/04/11 703 Catalina Sky Survey
,2013 GF23,0.582,1.133,0.07843,23.7,20170216,88.1,204.4,197.7,27.8,0.321,0.857,( 6d),MPO 259321,2013/04/07 G96 Mt. Lemmon Survey
,2013 GO3,0.568,1.394,0.13601,23.0,20170216,244.1,144.7,193.2,20.9,0.421,0.981,( 7d),MPO 259320,2013/04/04 G96 Mt. Lemmon Survey
,2013 GM3,0.596,1.075,0.00005,26.3,20170216,243.8,33.2,316.2,0.0,0.287,0.836,( 12d),MPO 285770,2013/04/03 G96 Mt. Lemmon Survey
,2013 FQ10,0.754,1.115,0.11483,22.5,20170216,285.8,180.1,189.9,16.9,0.193,0.935,(109d),MPO 266948,2013/03/20 F51 Pan-STARRS 1
,2013 FM9,0.554,1.060,0.04918,23.8,20170216,298.6,192.4,177.2,14.9,0.313,0.807,( 9d),MPO 260858,2013/03/20 G96 Mt. Lemmon Survey
,2013 FD8,0.751,1.229,0.02098,25.7,20170216,260.3,293.9,1.6,10.9,0.241,0.990,( 11d),MPO 260857,2013/03/19 F51 Pan-STARRS 1
,2013 FZ7,0.550,1.293,0.04040,22.9,20170216,40.0,321.3,8.2,8.6,0.403,0.922,( 31d),MPO 265053,2013/03/18 691 Spacewatch
,2013 ES41,0.449,1.037,0.00529,26.6,20170216,265.2,341.7,353.7,10.3,0.396,0.743,( 1d),MPO 256843,2013/03/12 703 Catalina Sky Survey
,2013 DL1,0.235,1.444,0.20667,21.1,20170216,219.1,185.8,142.0,26.5,0.720,0.839,2,MPO 363877,2013/02/16 G96 Mt. Lemmon Survey
,2013 DF,0.482,1.247,0.01178,24.6,20170216,246.8,321.9,329.7,4.2,0.442,0.864,( 4d),MPO 253354,2013/02/16 G96 Mt. Lemmon Survey
,2013 CN129,0.572,1.339,0.26517,21.0,20170216,244.5,199.4,149.0,34.6,0.401,0.956,3,MPO 331335,2013/02/14 F51 Pan-STARRS 1
,2013 CN118,0.627,1.233,0.00794,25.5,20170216,259.2,232.7,143.6,3.2,0.326,0.930,( 1d),MPO 253345,2013/02/14 G96 Mt. Lemmon Survey
,2013 CW32,0.562,1.247,0.03405,21.9,20170216,351.3,228.9,132.1,26.1,0.379,0.905,2,MPO 386865,2013/02/05 703 Catalina Sky Survey
,2013 BS45,0.909,1.075,0.01135,25.9,20170216,296.2,150.5,83.4,0.8,0.084,0.992,2,MPO 307057,2013/01/20 691 Spacewatch
,2013 BE19,0.640,1.182,0.04398,19.8,20170216,133.2,312.0,309.3,31.0,0.297,0.911,2,MPO 322279,2013/01/18 703 Catalina Sky Survey
,2013 BT18,0.337,1.210,0.01507,23.6,20170216,236.3,117.2,161.9,1.8,0.565,0.773,( 22d),MPO 265048,2013/01/18 F51 Pan-STARRS 1
,2013 AH76,0.447,1.523,0.05989,22.9,20170216,137.4,353.8,347.2,4.5,0.547,0.985,( 6d),MPO 250178,2013/01/14 703 Catalina Sky Survey
,2013 AT72,0.315,1.042,0.02026,24.2,20170216,323.2,167.7,118.2,15.0,0.536,0.678,( 10d),MPO 250177,2013/01/13 703 Catalina Sky Survey
,2013 AF69,0.583,1.388,0.14952,22.5,20170216,161.2,220.4,116.5,28.4,0.409,0.985,( 7d),MPO 250176,2013/01/12 703 Catalina Sky Survey
,2013 AF53,0.800,1.186,0.01811,26.5,20170216,330.0,105.9,107.3,12.9,0.195,0.993,( 3d),MPO 250174,2013/01/09 703 Catalina Sky Survey
,2012 YD7,0.688,1.074,0.01731,24.3,20170216,186.8,201.6,72.8,2.5,0.219,0.881,( 27d),MPO 254826,2012/12/23 F51 Pan-STARRS 1
,2012 YK,0.468,1.051,0.03332,23.0,20170216,303.0,165.4,88.7,11.3,0.384,0.759,3,MPEC 2016-Y49,2012/12/17 704 LINEAR
,2012 XM145,0.705,1.049,0.05295,20.2,20170216,232.1,345.1,249.4,26.2,0.197,0.877,2,MPO 254825,2012/12/13 704 LINEAR
,2012 XO134,0.606,1.344,0.01789,23.9,20170216,195.5,198.9,124.9,1.4,0.378,0.975,2,MPO 279260,2012/12/13 703 Catalina Sky Survey
,2012 XE133,0.410,1.036,0.00300,23.4,20170216,114.6,337.1,281.1,6.7,0.433,0.723,( 28d),MPO 252145,2012/12/12 703 Catalina Sky Survey
,2012 XS111,0.387,1.160,0.04795,22.0,20170216,248.0,191.9,62.2,7.6,0.500,0.774,3,MPEC 2016-X17,2012/12/10 F51 Pan-STARRS 1
,2012 XN55,0.409,1.088,0.06440,23.9,20170216,315.1,15.0,256.3,29.1,0.454,0.749,( 6d),MPO 247321,2012/12/08 703 Catalina Sky Survey
,2012 XL16,0.809,1.161,0.01803,25.5,20170216,201.2,58.4,259.5,3.1,0.179,0.985,( 11d),MPO 252137,2012/12/06 703 Catalina Sky Survey
,2012 WQ10,0.756,1.129,0.13065,22.5,20170216,27.3,191.1,59.9,17.8,0.198,0.942,( 23d),MPO 248938,2012/11/22 703 Catalina Sky Survey
,2012 WH1,0.542,1.093,0.00659,23.9,20170216,135.8,147.1,64.1,4.6,0.336,0.818,( 12d),MPO 307055,2012/11/19 704 LINEAR
,2012 WH,0.776,1.039,0.03346,25.5,20170216,138.6,8.6,235.2,4.1,0.145,0.907,( 27d),MPO 248937,2012/11/17 G96 Mt. Lemmon Survey
,2012 VJ77,0.584,1.202,0.06031,22.7,20170216,127.0,221.1,51.5,29.9,0.346,0.893,( 28d),MPO 248934,2012/11/14 704 LINEAR
,2012 VS76,0.608,1.374,0.00202,26.9,20170216,42.7,284.4,242.3,0.8,0.386,0.991,( 3d),MPO 244151,2012/11/13 703 Catalina Sky Survey
,2012 VE46,0.455,0.971,0.03295,20.2,20170216,238.4,190.4,8.9,6.7,0.361,0.713,2,MPO 361207,2012/11/06 F51 Pan-STARRS 1
,2012 VC26,0.766,1.137,0.00291,28.7,20170216,121.4,119.4,43.1,1.5,0.195,0.952,( 4d),MPO 244126,2012/11/06 G96 Mt. Lemmon Survey
,2012 VZ19,0.733,1.231,0.01102,25.6,20170216,237.7,221.3,57.9,1.2,0.253,0.982,( 2d),MPO 244123,2012/11/05 F51 Pan-STARRS 1
,2012 VK5,0.724,1.152,0.04747,24.8,20170216,120.6,152.3,42.2,4.8,0.228,0.938,( 15d),MPO 244112,2012/11/03 G96 Mt. Lemmon Survey
,2012 UK171,0.669,1.051,0.01400,24.5,20170216,274.2,357.6,251.1,1.3,0.222,0.860,2,MPEC 2016-X87,2012/10/25 704 LINEAR
,2012 UU68,0.725,1.155,0.00612,23.0,20170216,170.2,292.9,221.1,5.5,0.229,0.940,( 8d),MPO 240179,2012/10/18 F51 Pan-STARRS 1
,2012 UA34,0.156,1.416,0.08778,19.7,20170216,219.1,222.3,19.0,19.8,0.802,0.786,3,MPEC 2016-X44,2012/10/17 F51 Pan-STARRS 1
,2012 UC,0.626,1.234,0.01830,25.0,20170216,207.0,128.5,20.5,8.3,0.327,0.930,( 6d),MPO 240170,2012/10/16 G96 Mt. Lemmon Survey
,2012 TR231,0.595,1.083,0.07298,23.9,20170216,76.2,347.4,199.9,33.4,0.291,0.839,( 5d),MPO 240156,2012/10/14 G96 Mt. Lemmon Survey
,2012 SX49,0.838,1.059,0.02031,26.2,20170216,65.0,210.4,353.6,3.9,0.117,0.949,( 2d),MPO 240117,2012/09/22 G96 Mt. Lemmon Survey
,2012 SU9,0.595,1.265,0.00398,27.2,20170216,61.5,264.3,323.5,0.5,0.360,0.930,( 5d),MPO 240097,2012/09/19 G96 Mt. Lemmon Survey
,2012 RT16,0.658,1.211,0.01208,26.9,20170216,56.6,54.4,172.1,10.4,0.296,0.934,( 2d),MPO 240069,2012/09/15 G96 Mt. Lemmon Survey
,2012 RL15,0.619,1.134,0.07684,24.3,20170216,3.9,334.1,173.0,26.4,0.294,0.877,( 8d),MPO 245951,2012/09/14 703 Catalina Sky Survey
,2012 QL14,0.355,1.192,0.07316,24.4,20170216,350.4,194.2,329.8,15.3,0.541,0.774,( 24d),MPO 242011,2012/08/21 F51 Pan-STARRS 1
,2012 QH8,0.582,1.256,0.22540,21.2,20170216,241.5,356.4,141.0,19.4,0.367,0.919,( 32d),MPO 242011,2012/08/19 E12
,2012 PY19,0.698,1.048,0.00978,27.5,20170216,26.0,171.9,318.2,1.4,0.200,0.873,( 3d),MPO 236378,2012/08/13 F51 Pan-STARRS 1
,2012 PZ17,0.767,1.021,0.00637,26.7,20170216,292.5,7.3,139.9,5.4,0.142,0.894,( 7d),MPO 236377,2012/08/14 E12 Siding Spring Survey
,2012 PG6,0.322,1.353,0.05331,20.3,20170216,199.4,169.8,312.0,6.5,0.616,0.837,3,MPO 386842,2012/08/10 J75
,2012 OD1,0.412,1.245,0.03812,18.6,20170216,133.6,224.4,303.8,42.3,0.503,0.829,4,MPO 386841,2012/07/19 J75
,2012 MD7,0.871,1.083,0.01706,24.1,20170216,172.2,135.3,266.2,3.8,0.109,0.977,( 2d),MPO 233505,2012/06/23 703 Catalina Sky Survey
,2012 MO3,0.500,1.375,0.08822,20.8,20170216,161.6,280.0,220.2,13.4,0.467,0.937,2,MPO 278273,2012/06/17 G96 Mt. Lemmon Survey
,2012 MX2,0.423,1.222,0.02160,23.1,20170216,225.0,204.9,266.3,5.3,0.486,0.822,( 9d),MPO 233501,2012/06/18 G96 Mt. Lemmon Survey
,2012 LF11,0.464,1.331,0.11108,20.8,20170216,270.9,263.5,222.2,11.6,0.483,0.897,2,MPO 273979,2012/06/14 F51 Pan-STARRS 1
,2012 LA11,0.892,1.082,0.00698,26.1,20170216,25.4,241.6,260.5,5.1,0.096,0.987,2,MPO 269758,2012/06/15 703 Catalina Sky Survey
,2012 KF25,0.939,1.037,0.01902,25.3,20170216,137.4,336.5,64.9,16.9,0.050,0.988,( 3d),MPO 231390,2012/05/25 703 Catalina Sky Survey
,2012 HL31,0.555,1.220,0.14518,22.3,20170216,55.2,17.5,37.5,19.8,0.375,0.888,( 17d),MPO 232627,2012/04/28 G96 Mt. Lemmon Survey
,2012 HP13,0.813,1.160,0.00091,24.2,20170216,239.4,286.5,37.1,23.0,0.176,0.986,2,MPO 293226,2012/04/22 703 Catalina Sky Survey
,2012 FC71,0.901,1.075,0.05634,25.2,20170216,150.1,348.3,38.1,4.9,0.088,0.988,( 21d),MPO 230294,2012/03/31 G96 Mt. Lemmon Survey
,2012 FT35,0.664,1.004,0.00114,29.2,20170216,350.2,169.6,185.1,5.1,0.204,0.834,( 4d),MPO 294883,2012/03/24 G96 Mt. Lemmon Survey
,2012 FK15,0.925,1.057,0.04740,26.5,20170216,207.9,327.1,0.5,24.4,0.067,0.991,( 1d),MPO 226099,2012/03/22 G96 Mt. Lemmon Survey
,2012 EH5,0.856,1.105,0.10861,24.5,20170216,196.3,5.1,356.5,15.6,0.127,0.980,( 18d),MPO 232615,2012/03/13 F51 Pan-STARRS 1
,2012 EP3,0.557,1.309,0.03724,25.5,20170216,98.1,141.6,148.8,6.6,0.403,0.933,( 1d),MPO 223151,2012/03/03 G96 Mt. Lemmon Survey
,2012 EO3,0.502,1.059,0.05886,23.0,20170216,256.5,352.2,345.5,29.5,0.356,0.780,( 11d),MPO 227527,2012/03/03 G96 Mt. Lemmon Survey
,2012 DJ61,0.445,1.391,0.02784,19.9,20170216,122.3,311.9,346.3,53.6,0.515,0.918,2,MPO 260828,2012/02/28 F51 Pan-STARRS 1
,2012 DH54,0.799,1.073,0.00787,27.5,20170216,53.8,131.0,162.3,3.3,0.146,0.936,( 14d),MPO 227524,2012/02/27 F51 Pan-STARRS 1
,2012 DR32,0.456,1.313,0.00528,24.6,20170216,265.7,312.1,341.0,17.2,0.484,0.885,( 4d),MPO 223138,2012/02/25 703 Catalina Sky Survey
,2012 DL31,0.744,1.174,0.11266,22.8,20170216,255.5,200.0,159.8,9.5,0.224,0.959,3,MPO 303384,2012/02/24 F51 Pan-STARRS 1
,2012 DK31,0.294,1.094,0.02583,21.8,20170216,93.1,149.2,165.3,11.2,0.577,0.694,2,MPO 363781,2012/02/24 E12 Siding Spring Survey
,2012 DQ8,0.818,1.102,0.10960,21.3,20170216,279.6,0.0,342.8,29.8,0.148,0.960,( 29d),MPO 227518,2012/02/21 703 Catalina Sky Survey
,2012 DO8,0.714,1.179,0.12525,22.4,20170216,323.7,357.0,347.4,8.8,0.246,0.946,( 56d),MPO 230284,2012/02/21 691 Spacewatch
,2012 DK4,0.730,1.053,0.01149,23.6,20170216,172.2,148.7,168.3,4.1,0.181,0.891,( 37d),MPO 227518,2012/02/19 704 LINEAR
,2012 CM2,0.777,1.196,0.07393,24.8,20170216,156.0,28.7,337.4,5.9,0.212,0.987,( 1d),MPO 223082,2012/02/03 G96 Mt. Lemmon Survey
,2012 BF86,0.427,1.086,0.02314,22.6,20170216,40.9,196.4,117.6,6.0,0.436,0.756,3,MPO 369150,2012/01/27 704 LINEAR
,2012 BO77,0.415,1.473,0.06724,22.2,20170216,92.7,327.2,306.2,12.4,0.561,0.944,( 22d),MPO 224743,2012/01/27 G96 Mt. Lemmon Survey
,2012 BL77,0.464,1.422,0.11429,23.3,20170216,89.1,146.6,124.4,20.7,0.508,0.943,( 23d),MPO 224743,2012/01/26 F51 Pan-STARRS 1
,2012 BX34,0.489,1.033,0.00063,27.6,20170216,85.8,335.9,306.7,10.5,0.358,0.761,( 2d),MPO 227510,2012/01/25 703 Catalina Sky Survey
,2012 BK14,0.789,1.182,0.00184,27.4,20170216,151.2,254.6,118.5,1.5,0.199,0.986,( 0d),MPO 219477,2012/01/21 703 Catalina Sky Survey
,2012 BV13,0.848,1.038,0.00676,22.2,20170216,77.0,306.0,295.5,12.2,0.101,0.943,( 24d),MPO 224737,2012/01/19 703 Catalina Sky Survey
,2012 BT1,0.545,1.023,0.01250,27.4,20170216,270.6,193.7,117.6,4.3,0.305,0.784,( 1d),MPO 219468,2012/01/18 G96 Mt. Lemmon Survey
,2012 BN1,0.735,1.070,0.03083,25.5,20170216,117.8,24.5,296.6,4.1,0.186,0.903,( 9d),MPO 227509,2012/01/18 G96 Mt. Lemmon Survey
,2012 AP10,0.766,1.013,0.00177,26.4,20170216,177.3,212.2,101.6,2.7,0.139,0.889,( 9d),MPO 219458,2012/01/11 G96 Mt. Lemmon Survey
,2012 AN10,0.548,1.270,0.00280,22.5,20170216,225.9,303.4,297.5,14.1,0.397,0.909,( 10d),MPO 219457,2012/01/10 G96 Mt. Lemmon Survey
,2011 YD29,0.527,1.002,0.01404,26.3,20170216,50.8,5.2,281.8,7.0,0.310,0.765,( 3d),MPO 216409,2011/12/29 703 Catalina Sky Survey
,2011 YX10,0.639,1.269,0.24087,21.5,20170216,31.1,345.8,273.0,25.2,0.331,0.954,2,MPO 252109,2011/12/25 G96 Mt. Lemmon Survey
,2011 YW10,0.482,1.248,0.00906,24.5,20170216,252.8,217.7,86.6,2.9,0.443,0.865,2,MPO 369146,2011/12/25 G96 Mt. Lemmon Survey
,2011 XE,0.421,1.147,0.05276,19.3,20170216,315.1,46.6,221.3,20.7,0.463,0.784,5,MPEC 2016-X07,2011/12/01 E12 Siding Spring Survey
,2011 WS74,0.631,1.313,0.01683,23.9,20170216,80.9,117.8,67.5,13.8,0.351,0.972,( 7d),MPO 227507,2011/11/29 703 Catalina Sky Survey
,2011 WR41,0.531,1.092,0.03979,25.0,20170216,230.0,349.9,257.3,5.2,0.345,0.812,( 13d),MPO 218130,2011/11/24 F51 Pan-STARRS 1
,2011 WA,0.604,1.086,0.04942,21.6,20170216,51.4,206.2,51.5,30.4,0.285,0.845,2,MPO 323924,2011/11/16 703 Catalina Sky Survey
,2011 UJ21,0.705,1.239,0.03015,23.8,20170216,112.0,117.8,30.2,27.8,0.275,0.972,( 9d),MPO 210179,2011/10/20 703 Catalina Sky Survey
,2011 UG21,0.424,1.450,0.12850,19.4,20170216,200.5,82.4,86.6,14.6,0.547,0.937,2,MPO 239884,2011/10/19 E12 Siding Spring Survey
,2011 UD21,0.949,1.008,0.00305,28.5,20170216,332.4,209.8,22.3,1.1,0.030,0.979,( 37d),MPO 215202,2011/10/18 G96
,2011 TX8,0.265,1.554,0.01268,21.9,20170216,345.4,313.3,207.9,6.0,0.708,0.910,2,MPO 389014,2011/10/06 G96 Mt. Lemmon Survey
,2011 TK5,0.483,1.224,0.11546,22.8,20170216,145.4,348.9,186.1,12.6,0.434,0.854,( 24d),MPO 218113,2011/10/03 G96 Mt. Lemmon Survey
,2011 TG2,0.434,1.354,0.05155,20.4,20170216,211.9,218.6,13.0,21.1,0.515,0.894,3,MPO 392375,2011/10/03 703 Catalina Sky Survey
,2011 TO,0.667,1.185,0.00045,26.3,20170216,108.3,57.3,185.4,2.2,0.280,0.926,2,MPO 249993,2011/10/01 704 LINEAR
,2011 SM5,0.602,1.268,0.25100,23.5,20170216,171.9,183.7,352.4,23.7,0.356,0.935,( 1d),MPO 207932,2011/09/18 G96 Mt. Lemmon Survey
,2011 OB57,0.721,1.182,0.02403,26.0,20170216,121.6,223.7,296.2,4.9,0.243,0.951,( 28d),MPO 205913,2011/07/22 F51 Pan-STARRS 1
,2011 OB,0.430,1.378,0.01000,19.3,20170216,255.1,48.9,106.3,27.7,0.524,0.904,3,MPO 242000,2011/07/20 E12 Siding Spring Survey
,2011 KY15,0.259,1.040,0.01647,24.1,20170216,149.3,185.8,242.9,16.8,0.602,0.649,( 6d),MPO 200090,2011/05/27 704 LINEAR
,2011 KB,0.537,1.151,0.00630,25.1,20170216,266.2,216.6,233.7,4.8,0.364,0.844,( 11d),MPO 200072,2011/05/21 G96 Mt. Lemmon Survey
,2011 JM5,0.627,1.120,0.00558,26.3,20170216,144.7,32.3,52.2,1.6,0.282,0.874,( 7d),MPO 198776,2011/05/05 704 LINEAR
,2011 HN5,0.695,1.141,0.03825,25.1,20170216,353.6,201.4,223.3,4.0,0.243,0.918,( 14d),MPO 198711,2011/04/27 G96 Mt. Lemmon Survey
,2011 HR4,0.705,1.121,0.08013,24.5,20170216,54.9,350.5,47.4,8.2,0.228,0.913,( 1d),MPO 198710,2011/04/26 G96 Mt. Lemmon Survey
,2011 GC62,0.788,1.154,0.02166,23.6,20170216,301.4,118.6,202.5,18.6,0.188,0.971,( 10d),MPO 199014,2011/04/11 704 LINEAR
,2011 GP59,0.645,1.093,0.00245,24.3,20170216,319.7,319.3,24.4,8.5,0.258,0.869,2,MPO 323911,2011/04/08 J75
,2011 GP44,0.459,1.121,0.04500,24.4,20170216,267.1,193.1,201.8,7.7,0.419,0.790,( 8d),MPO 199012,2011/04/05 G96 Mt. Lemmon Survey
,2011 GM44,0.376,1.187,0.02422,19.5,20170216,275.1,37.5,10.8,49.3,0.519,0.782,3,MPO 369125,2011/04/05 E12 Siding Spring Survey
,2011 GL44,0.424,1.368,0.11706,20.5,20170216,155.6,335.0,38.8,20.1,0.527,0.896,3,MPO 369125,2011/04/05 703 Catalina Sky Survey
,2011 GK44,0.692,1.035,0.02267,25.6,20170216,311.7,344.8,18.6,15.3,0.199,0.863,( 6d),MPO 199012,2011/04/05 703 Catalina Sky Survey
,2011 GF3,0.378,1.287,0.16223,22.4,20170216,95.6,178.1,183.7,15.8,0.546,0.832,( 9d),MPO 196485,2011/04/02 F51 Pan-STARRS 1
,2011 GE3,0.575,1.052,0.01408,26.0,20170216,146.0,20.8,13.4,6.2,0.294,0.814,( 11d),MPO 199011,2011/04/02 704 LINEAR
,2011 FQ6,0.636,1.325,0.00057,27.7,20170216,103.5,246.3,183.2,5.1,0.352,0.980,( 3d),MPO 196438,2011/03/27 G96 Mt. Lemmon Survey
,2011 FK1,0.719,1.132,0.07072,23.7,20170216,104.3,330.5,359.7,13.1,0.223,0.926,( 19d),MPO 196429,2011/03/25 703 Catalina Sky Survey
,2011 ER74,0.630,1.049,0.03742,24.2,20170216,105.5,165.0,169.4,12.4,0.249,0.839,( 1d),MPO 193856,2011/03/14 703 Catalina Sky Survey
,2011 EB74,0.793,1.104,0.00162,26.9,20170216,49.4,295.6,355.9,10.5,0.164,0.949,( 0d),MPO 193856,2011/03/15 703 Catalina Sky Survey
,2011 EP51,0.573,1.083,0.02515,24.7,20170216,171.8,169.7,160.1,3.4,0.308,0.828,2,MPO 294862,2011/03/12 G96 Mt. Lemmon Survey
